MUN;Nao;Total
110001 ALTA FLORESTA D'OESTE;331;333
110002 ARIQUEMES;1483;1507
110003 CABIXI;68;69
110004 CACOAL;1314;1325
110005 CEREJEIRAS;268;269
110006 COLORADO DO OESTE;199;203
110007 CORUMBIARA;106;107
110008 COSTA MARQUES;189;190
110009 ESPIGAO D'OESTE;469;471
110010 GUAJARA-MIRIM;849;858
110011 JARU;882;892
110012 JI-PARANA;2113;2133
110013 MACHADINHO D'OESTE;549;561
110014 NOVA BRASILANDIA D'OESTE;227;230
110015 OURO PRETO DO OESTE;592;600
110018 PIMENTA BUENO;573;579
110020 PORTO VELHO;7570;7893
110025 PRESIDENTE MEDICI;258;259
110026 RIO CRESPO;47;48
110028 ROLIM DE MOURA;867;877
110029 SANTA LUZIA D'OESTE;97;99
110030 VILHENA;1537;1553
110032 SAO MIGUEL DO GUAPORE;354;363
110033 NOVA MAMORE;421;423
110034 ALVORADA D'OESTE;201;210
110037 ALTO ALEGRE DOS PARECIS;145;146
110040 ALTO PARAISO;212;218
110045 BURITIS;504;508
110050 NOVO HORIZONTE DO OESTE;77;78
110060 CACAULANDIA;70;70
110070 CAMPO NOVO DE RONDONIA;169;173
110080 CANDEIAS DO JAMARI;324;344
110090 CASTANHEIRAS;37;37
110092 CHUPINGUAIA;161;162
110094 CUJUBIM;240;246
110100 GOVERNADOR JORGE TEIXEIRA;86;86
110110 ITAPUA DO OESTE;116;119
110120 MINISTRO ANDREAZZA;74;74
110130 MIRANTE DA SERRA;168;168
110140 MONTE NEGRO;165;167
110143 NOVA UNIAO;87;87
110145 PARECIS;59;59
110146 PIMENTEIRAS DO OESTE;39;39
110147 PRIMAVERA DE RONDONIA;38;38
110148 SAO FELIPE D'OESTE;65;65
110149 SAO FRANCISCO DO GUAPORE;264;266
110150 SERINGUEIRAS;161;162
110155 TEIXEIROPOLIS;40;42
110160 THEOBROMA;110;115
110170 URUPA;141;143
110175 VALE DO ANARI;70;72
110180 VALE DO PARAISO;61;62
120001 ACRELANDIA;210;237
120005 ASSIS BRASIL;204;215
120010 BRASILEIA;492;527
120013 BUJARI;203;241
120017 CAPIXABA;161;190
120020 CRUZEIRO DO SUL;1682;1691
120025 EPITACIOLANDIA;268;293
120030 FEIJO;759;789
120032 JORDAO;199;205
120033 MANCIO LIMA;414;420
120034 MANOEL URBANO;241;280
120035 MARECHAL THAUMATURGO;326;334
120038 PLACIDO DE CASTRO;257;285
120039 PORTO WALTER;283;287
120040 RIO BRANCO;5150;5745
120042 RODRIGUES ALVES;345;347
120043 SANTA ROSA DO PURUS;125;149
120045 SENADOR GUIOMARD;358;401
120050 SENA MADUREIRA;644;668
120060 TARAUACA;1151;1161
120070 XAPURI;290;316
120080 PORTO ACRE;316;361
130002 ALVARAES;395;397
130006 AMATURA;261;265
130008 ANAMA;224;228
130010 ANORI;257;258
130014 APUI;262;265
130020 ATALAIA DO NORTE;263;280
130030 AUTAZES;898;906
130040 BARCELOS;493;497
130050 BARREIRINHA;834;846
130060 BENJAMIN CONSTANT;979;984
130063 BERURI;506;510
130068 BOA VISTA DO RAMOS;298;299
130070 BOCA DO ACRE;694;718
130080 BORBA;770;774
130083 CAAPIRANGA;203;204
130090 CANUTAMA;195;197
130100 CARAUARI;582;585
130110 CAREIRO;552;565
130115 CAREIRO DA VARZEA;182;190
130120 COARI;1584;1601
130130 CODAJAS;470;474
130140 EIRUNEPE;709;717
130150 ENVIRA;362;367
130160 FONTE BOA;627;628
130165 GUAJARA;290;291
130170 HUMAITA;977;986
130180 IPIXUNA;340;342
130185 IRANDUBA;815;913
130190 ITACOATIARA;1917;1929
130195 ITAMARATI;238;240
130200 ITAPIRANGA;187;188
130210 JAPURA;185;188
130220 JURUA;222;225
130230 JUTAI;652;654
130240 LABREA;797;801
130250 MANACAPURU;2084;2097
130255 MANAQUIRI;245;249
130260 MANAUS;35727;37274
130270 MANICORE;984;996
130280 MARAA;414;417
130290 MAUES;1396;1403
130300 NHAMUNDA;324;327
130310 NOVA OLINDA DO NORTE;596;596
130320 NOVO AIRAO;284;290
130330 NOVO ARIPUANA;366;369
130340 PARINTINS;1796;1805
130350 PAUINI;348;356
130353 PRESIDENTE FIGUEIREDO;502;551
130356 RIO PRETO DA EVA;358;393
130360 SANTA ISABEL DO RIO NEGRO;315;320
130370 SANTO ANTONIO DO ICA;727;733
130380 SAO GABRIEL DA CACHOEIRA;1370;1378
130390 SAO PAULO DE OLIVENCA;911;919
130395 SAO SEBASTIAO DO UATUMA;202;205
130400 SILVES;181;181
130406 TABATINGA;1631;1653
130410 TAPAUA;447;452
130420 TEFE;1778;1792
130423 TONANTINS;411;412
130426 UARINI;326;334
130430 URUCARA;286;289
130440 URUCURITUBA;289;291
140002 AMAJARI;390;395
140005 ALTO ALEGRE;733;737
140010 BOA VISTA;8135;8195
140015 BONFIM;458;464
140017 CANTA;371;373
140020 CARACARAI;424;431
140023 CAROEBE;181;183
140028 IRACEMA;149;149
140030 MUCAJAI;331;337
140040 NORMANDIA;536;554
140045 PACARAIMA;501;508
140047 RORAINOPOLIS;595;598
140050 SAO JOAO DA BALIZA;126;126
140060 SAO LUIZ;103;106
140070 UIRAMUTA;590;603
150010 ABAETETUBA;2534;2552
150013 ABEL FIGUEIREDO;95;98
150020 ACARA;943;947
150030 AFUA;834;964
150034 AGUA AZUL DO NORTE;157;169
150040 ALENQUER;1061;1070
150050 ALMEIRIM;772;779
150060 ALTAMIRA;1278;2332
150070 ANAJAS;808;821
150080 ANANINDEUA;6907;6953
150085 ANAPU;593;631
150090 AUGUSTO CORREA;853;860
150095 AURORA DO PARA;361;364
150100 AVEIRO;145;146
150110 BAGRE;527;528
150120 BAIAO;504;511
150125 BANNACH;56;57
150130 BARCARENA;2248;2271
150140 BELEM;16862;16966
150145 BELTERRA;307;309
150150 BENEVIDES;873;884
150157 BOM JESUS DO TOCANTINS;250;254
150160 BONITO;202;202
150170 BRAGANCA;2034;2056
150172 BRASIL NOVO;282;292
150175 BREJO GRANDE DO ARAGUAIA;102;107
150178 BREU BRANCO;705;709
150180 BREVES;2681;2761
150190 BUJARU;405;409
150195 CACHOEIRA DO PIRIA;294;294
150200 CACHOEIRA DO ARARI;313;314
150210 CAMETA;2331;2347
150215 CANAA DOS CARAJAS;726;1300
150220 CAPANEMA;982;985
150230 CAPITAO POCO;902;911
150240 CASTANHAL;3053;3074
150250 CHAVES;420;428
150260 COLARES;127;135
150270 CONCEICAO DO ARAGUAIA;698;713
150275 CONCORDIA DO PARA;458;461
150276 CUMARU DO NORTE;220;221
150277 CURIONOPOLIS;309;311
150280 CURRALINHO;692;699
150285 CURUA;231;236
150290 CURUCA;470;474
150293 DOM ELISEU;604;627
150295 ELDORADO DOS CARAJAS;454;458
150300 FARO;149;149
150304 FLORESTA DO ARAGUAIA;298;298
150307 GARRAFAO DO NORTE;446;450
150309 GOIANESIA DO PARA;581;584
150310 GURUPA;667;721
150320 IGARAPE-ACU;544;549
150330 IGARAPE-MIRI;996;1013
150340 INHANGAPI;179;179
150345 IPIXUNA DO PARA;574;577
150350 IRITUIA;413;419
150360 ITAITUBA;2342;2364
150370 ITUPIRANGA;838;842
150375 JACAREACANGA;656;665
150380 JACUNDA;670;674
150390 JURUTI;1069;1075
150400 LIMOEIRO DO AJURU;457;461
150405 MAE DO RIO;538;538
150410 MAGALHAES BARATA;90;90
150420 MARABA;4545;4594
150430 MARACANA;356;357
150440 MARAPANIM;309;311
150442 MARITUBA;1652;1666
150445 MEDICILANDIA;450;476
150450 MELGACO;588;594
150460 MOCAJUBA;480;481
150470 MOJU;1291;1307
150475 MOJUI DOS CAMPOS;281;284
150480 MONTE ALEGRE;1066;1071
150490 MUANA;596;599
150495 NOVA ESPERANCA DO PIRIA;357;361
150497 NOVA IPIXUNA;224;225
150500 NOVA TIMBOTEUA;137;137
150503 NOVO PROGRESSO;616;617
150506 NOVO REPARTIMENTO;1182;1194
150510 OBIDOS;1049;1063
150520 OEIRAS DO PARA;658;662
150530 ORIXIMINA;1498;1512
150540 OUREM;287;296
150543 OURILANDIA DO NORTE;543;680
150548 PACAJA;683;699
150549 PALESTINA DO PARA;114;116
150550 PARAGOMINAS;1859;1880
