CD_MUN,MUN,AR_TER_km2,POP_EST,DENS_DEM,ESC,IDHM,MORT_INF,PIB_P_CAP,MD_CIR_G,MD_CLIN,MD_GIN_OBS,MD_FAM,MD_PED,MD_GERI,MD_URO,AS_SOC,ENF,FISIO,FONO,NUTRI,ODONTO,PSICO,PSIQ,POSTO,CS_UBS,POLICL,HOSP_GER,HOSP_ESP,PRT_SOC,PRT_ESP
1100015,Alta Floresta D'Oeste,7067.127,22516,3.45,95.7,641,8.17,21552.47,1.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,3.0,0.0,3.0,7.0,1.0,1.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0
1100023,Ariquemes,4426.571,111148,20.41,97.2,702,10.41,23206.36,7.0,96.0,16.0,0.0,15.0,0.0,2.0,7.0,112.0,50.0,5.0,8.0,12.0,25.0,1.0,0.0,13.0,1.0,10.0,1.0,0.0,0.0
1100031,Cabixi,1314.352,5067,4.8,98.1,0.65,25,25837.12,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1100049,Cacoal,3793,86416,20.72,97.6,718,5.09,25708.96,6.0,109.0,15.0,2.0,24.0,0.0,2.0,23.0,285.0,90.0,11.0,20.0,128.0,45.0,6.0,1.0,11.0,5.0,8.0,0.0,1.0,0.0
1100056,Cerejeiras,2783.3,16088,6.12,98.5,692,16.88,28714.35,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,5.0,0.0,0.0,8.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
1100064,Colorado do Oeste,1451.06,15213,12.81,97.6,685,4.67,20362.88,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
1100072,Corumbiara,3060.321,7052,2.87,97.1,613,24.365,42371.91,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1100080,Costa Marques,4987.177,19255,2.74,97.6,611,25.75,12890.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1100098,Espigão D'Oeste,4518.038,33009,6.36,95.9,672,17.78,18984.55,0.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,26.0,10.0,2.0,2.0,21.0,5.0,0.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0
1100106,Guajará-Mirim,24856.877,46930,1.68,93.1,657,10.24,18279.32,1.0,22.0,1.0,0.0,2.0,0.0,0.0,4.0,36.0,4.0,1.0,3.0,14.0,2.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0
